feature0	ihlal
feature1	bilgi
feature2	sorgula
feature3	hizmet
feature4	belir
feature5	tane
feature6	ceza
feature7	tutar
feature8	kullan
feature9	tarihi
feature10	itibaren
feature11	yasal
feature12	sure
feature13	yeter
feature14	bakiye
feature15	gir
feature16	ifade
feature17	helal
feature18	pazar
feature19	organizasyon
feature20	ekim
feature21	tarih
feature22	ara
feature23	kongre
feature24	merkezi
feature25	potansiyel
feature26	buy
feature27	ekonomi
feature28	zirve
feature29	plan
feature30	fuar
feature31	konsey
feature32	ayin
feature33	kurul
feature34	yunus
feature35	denetim
feature36	sertifika
feature37	ver
feature38	milyar
feature39	dolar
feature40	giyim
feature41	turizm
feature42	yasa
feature43	hacim
feature44	trilyon
feature45	bul
feature46	bekle
feature47	ekle
feature48	ortalama
feature49	ihracat
feature50	taraf
feature51	toplam
feature52	ur
feature53	art
feature54	pay
feature55	alan
feature56	katlan
feature57	sebep
feature58	rant
feature59	arala
feature60	risk
feature61	dikkat
feature62	sik
feature63	denetle
feature64	gerek
feature65	vurgula
feature66	vere
feature67	dernek
feature68	kurum
feature69	kur
feature70	kabul
feature71	onay
feature72	sadece
feature73	devam
feature74	getir
feature75	arz
feature76	temel
feature77	gayrimenkul
feature78	ortak
feature79	radar
feature80	milyon
feature81	hayat
feature82	gece
feature83	ilk
feature84	karma
feature85	proje
feature86	ege
feature87	dun
feature88	bin
feature89	kirala
feature90	sahip
feature91	yan
feature92	manzara
feature93	konut
feature94	ofis
feature95	kat
feature96	kule
feature97	konak
feature98	belediye
feature99	sinir
feature100	yer
feature101	yeni
feature102	kent
feature103	ate
feature104	genel
feature105	mu
feature106	turgay
feature107	arazi
feature108	banka
feature109	rampa
feature110	inan
feature111	kanyon
feature112	talep
feature113	topla
feature114	bas
feature115	ilgi
feature116	memnun
feature117	deprem
feature118	hedef
feature119	itibari
feature120	tamamla
feature121	rota
feature122	birlikte
feature123	fazla
feature124	hakan
feature125	tart
feature126	on
feature127	ruhsat
feature128	ki
feature129	istihdam
feature130	vergi
feature131	indir
feature132	yarat
feature133	hedefle
feature134	rekabet
feature135	kanal
feature136	soru
feature137	paket
feature138	isle
feature139	devlet
feature140	git
feature141	yap
feature142	miktar
feature143	ali
feature144	ilave
feature145	tasarruf
feature146	tedbir
feature147	oran
feature148	bildir
feature149	istatistik
feature150	ortay
feature151	koy
feature152	merkez
feature153	karar
feature154	azal
feature155	kolay
feature156	zor
feature157	kal
feature158	verici
feature159	ede
feature160	ekonomik
feature161	kriz
feature162	etki
feature163	dil
feature164	konu
feature165	sanayi
feature166	bakan
feature167	etkile
feature168	bulun
feature169	kaydet
feature170	sendika
feature171	temsil
feature172	kararla
feature173	kaybet
feature174	onayla
feature175	asa
feature176	tat
feature177	bil
feature178	kimya
feature179	patron
feature180	hayvan
feature181	mehdi
feature182	alkol
feature183	sorun
feature184	kimyasal
feature185	tutun
feature186	piyasa
feature187	yakin
feature188	sigara
feature189	baki
feature190	bol
feature191	sunum
feature192	hafta
feature193	imza
feature194	iddia
feature195	eski
feature196	tekel
feature197	zaman
feature198	yok
feature199	reddet
feature200	faaliyet
feature201	bulundur
feature202	alt
feature203	sahte
feature204	koordinasyon
feature205	tek
feature206	elde
